County,DemVote,LibVote,OthVote,RepVote,AllVote
AL@AUTAUGA,3814,532,35,13359,17740
AL@BALDWIN,11478,2092,126,59501,73197
AL@BARBOUR,2620,60,2,3861,6543
AL@BIBB,971,188,16,4694,5869
AL@BLOUNT,1130,519,33,14904,16586
AL@BULLOCK,1827,31,1,785,2644
AL@BUTLER,2039,80,1,3789,5909
AL@CALHOUN,7365,666,42,22008,30081
AL@CHAMBERS,2997,176,9,5917,9099
AL@CHEROKEE,761,121,6,6947,7835
AL@CHILTON,1407,350,21,10386,12164
AL@CHOCTAW,1899,56,1,3198,5154
AL@CLARKE,3613,57,1,5348,9019
AL@CLAY,505,92,8,3628,4233
AL@CLEBURNE,308,77,7,4212,4604
AL@COFFEE,2298,249,40,11411,13998
AL@COLBERT,4181,310,17,12748,17256
AL@CONECUH,1830,39,2,2564,4435
AL@COOSA,1042,109,3,2662,3816
AL@COVINGTON,1289,123,8,9852,11272
AL@CRENSHAW,895,58,2,3607,4562
AL@CULLMAN,1951,874,70,23228,26123
AL@DALE,2326,203,12,9458,11999
AL@DALLAS,7312,108,3,3888,11311
AL@DEKALB,1679,228,27,15200,17134
AL@ELMORE,4866,666,40,20167,25739
AL@ESCAMBIA,2247,116,5,7284,9652
AL@ETOWAH,4925,534,34,20599,26092
AL@FAYETTE,690,109,5,4697,5501
AL@FRANKLIN,770,116,5,6547,7438
AL@GENEVA,763,100,2,7113,7978
AL@GREENE,2337,30,2,597,2966
AL@HALE,2790,81,4,2298,5173
AL@HENRY,1560,84,3,5085,6732
AL@HOUSTON,5854,477,31,21246,27608
AL@JACKSON,1518,214,23,11617,13372
AL@JEFFERSON,100792,4873,365,91802,197832
AL@LAMAR,447,56,4,3869,4376
AL@LAUDERDALE,5453,494,48,19893,25888
AL@LAWRENCE,1916,225,14,8573,10728
AL@LEE,12458,1107,51,26966,40582
AL@LIMESTONE,7037,784,97,23422,31340
AL@LOWNDES,2734,58,2,1277,4071
AL@MACON,4131,85,2,1153,5371
AL@MADISON,45976,3602,345,70577,120500
AL@MARENGO,3375,81,1,3807,7264
